"State","numbofLCA","GDP","Region","Consumerpriceindex","Avesalary","int.students","diversity","education.level","Avg. Listing Price","Large Company Ratio","Num of Large Company","basetaxes"
"Alabama",1735,205625,"South",239.772,84652,1091,62.38,0.235,"212733",0.01,1,4
"Alaska",204,50404,"West",258.638,96095,191,65.79,0.28,"267404",0,0,0
"Arizona",9453,305849,"West",258.638,83800,13164,67.11,0.275,"322398",0.14,14,5.6
"Arkansas",2781,121383,"South",239.772,84107,2494,61.53,0.211,"191446",0.07,7,6.5
"California",119389,2622731,"West",258.638,105772,88427,70.74,0.314,"697539",1,100,7.25
"Colorado",6575,322644,"West",258.638,86319,191,65.19,0.381,"538477",0.07,7,2.9
"Connecticut",8130,259918,"Northeast",232.028,89387,4210,66.07,0.376,"435585",0.13,13,6.35
"Delaware",3360,71453,"South",239.772,89757,1246,65.29,0.3,"303971",0.05,5,0
"District of Columbia",4201,126478,"South",239.772,89690,191,62.765,0.546,"773286",0.01,1,5.75
"Florida",21803,926049,"South",239.772,80161,16807,67.35,0.273,"406803",0.19,19,6
"Georgia",22518,531302,"South",239.772,81126,8754,66.39,0.288,"296535",0.29,29,4
"Hawaii",552,84671,"West",258.638,84299,1008,69.26,0.308,"905687",0,0,4.166
"Idaho",874,68377,"West",258.638,81958,952,61.4,0.259,"349000",0.02,2,6
"Illinois",32078,796012,"Midwest",262.188,84780,21800,66.91,0.276,"277163",0.37,37,6.25
"Indiana",6114,347249,"Midwest",262.188,82923,21162,60.36,0.241,"190843",0.09,9,7
"Iowa",3094,185183,"Midwest",262.188,87398,329,59.53,0.267,"185087",0.02,2,NA
"Kansas",2738,150576,"Midwest",262.188,84387,239,63.15,0.31,"187649",0.04,4,6.5
"Kentucky",2625,196681,"South",239.772,84172,2358,59.02,0.223,"213848",0.04,4,6
"Louisiana",1943,236999,"South",239.772,87471,191,63.87,0.225,"232610",0.02,2,5
"Maine",657,59295,"Northeast",232.028,99215,252,55.83,0.29,"275717",0,0,5.5
"Maryland",10670,382437,"South",239.772,84278,6838,67.95,0.379,"369454",0.14,14,6
"Massachusetts",25010,505776,"Northeast",232.028,91549,34194,64.87,0.405,"602210",0.37,37,6.25
"Michigan",20220,490238,"Midwest",262.188,81555,19040,60.79,0.269,"212694",0.31,31,6
"Minnesota",10390,339096,"Midwest",262.188,83717,11002,62.08,0.337,"290514",0.14,14,6.875
"Mississippi",745,108495,"South",239.772,106911,191,62.32,0.207,"195390",0,0,7
"Missouri",8134,299113,"Midwest",262.188,82170,7926,60.77,0.271,"204506",0.13,13,4.225
"Montana",194,46227,"West",258.638,104171,264,58.82,0.295,"314959",0,0,0
"Nebraska",2081,117446,"Midwest",262.188,83357,289,62.23,0.293,"230000",0.02,2,5.5
"Nevada",1473,146278,"West",258.638,87772,191,67.51,0.23,"331971",0,0,6.85
"New Hampshire",1417,77208,"Northeast",232.028,89403,1208,58.68,0.349,"310914",0,0,0
"New Jersey",42567,575331,"Northeast",232.028,82958,8479,68.92,0.368,"372916",0.62,62,6.625
"New Mexico",861,93594,"West",258.638,101654,191,68.56,0.263,"254798",0,0,5.125
"New York",54957,1500055,"Northeast",232.028,97330,71300,68.58,0.342,"565227",0.63,63,4
"North Carolina",17132,521621,"South",239.772,86012,5604,64.47,0.284,"276389",0.23,23,4.75
"North Dakota",454,53453,"Midwest",262.188,101166,191,60.42,0.277,"226863",0,0,NA
"Ohio",15466,626622,"Midwest",262.188,83333,7980,59.98,0.261,"190371",0.26,26,NA
"Oklahoma",1740,181278,"South",239.772,81248,1364,63.92,0.241,"201091",0.01,1,4.5
"Oregon",4725,228886,"West",258.638,90709,191,62.3,0.308,"416718",0.06,6,0
"Pennsylvania",21598,719834,"Northeast",232.028,85057,25717,61.9,0.286,"224090",0.31,31,6
"Rhode Island",2342,57529,"Northeast",232.028,86623,2371,64.33,0.319,"405450",0.03,3,7
"South Carolina",2907,209859,"South",239.772,80709,255,63.71,0.258,"291636",0.01,1,6
"South Dakota",299,48354,"Midwest",262.188,98192,191,60.96,0.27,"238163",0,0,4
"Tennessee",6859,331868,"South",239.772,78684,191,61.99,0.249,"268692",0.13,13,7
"Texas",66151,1599283,"South",239.772,83506,37781,69.53,0.323,"320067",0.87,87,6.25
"Utah",3100,157671,"West",258.638,79026,191,60.66,0.311,"440946",0.03,3,5.95
"Vermont",407,31091,"Northeast",232.028,85111,317,57.49,0.36,"306034",0,0,6
"Virginia",17852,492932,"South",239.772,86501,422,66.79,0.363,"341015",0.24,24,5.3
"Washington",25475,476770,"West",258.638,107181,8019,64.85,0.329,"378565",0.23,23,6.5
"West Virginia",526,72861,"South",239.772,134320,191,55.55,0.192,"174865",0.01,1,6
"Wisconsin",6507,313088,"Midwest",262.188,85506,6992,60.65,0.278,"223480",0.1,10,5
"Wyoming",144,38328,"West",258.638,106093,191,60.68,0.257,"291855",0,0,4
